id,features
27831,"[-2.470207929611206, 0.6779874563217163, 0.9010115265846252, 0.15906254947185516, -2.0184214115142822, 1.2703280448913574, 0.015642017126083374, 0.17446838319301605, 0.9463208317756653, -2.5725629329681396]"
31221,"[-0.23636698722839355, -1.2013157606124878, -0.4391518533229828, 1.1104679107666016, 0.1558835804462433, 0.9736178517341614, 0.09879397600889206, 0.5429578423500061, -0.3819095194339752, 0.25790247321128845]"
32031,"[1.4530344009399414, -1.761904239654541, 0.32805922627449036, -0.02431202121078968, 2.055769443511963, 0.6793680787086487, 0.3725672960281372, 1.2922781705856323, 0.2381972372531891, 1.313603401184082]"
32291,"[-0.1214519590139389, -2.864893674850464, 0.8352624177932739, -1.7273969650268555, 1.0950123071670532, -0.4039154648780823, -0.026996666565537453, 1.4236817359924316, 0.6865390539169312, 1.0309665203094482]"
32511,"[-0.20627371966838837, -0.14685559272766113, 0.1593051254749298, -0.5332956314086914, 0.19702038168907166, -0.3007560968399048, 0.1214209794998169, 0.17159032821655273, -0.19260837137699127, -0.36949509382247925]"
32941,"[-1.9819048643112183, -2.3962693214416504, -0.2313806116580963, -0.12032479047775269, 1.293508529663086, 0.47092363238334656, -0.22592370212078094, -0.13387450575828552, -1.365096926689148, 1.1313234567642212]"
33171,"[0.7383554577827454, -0.9490798115730286, 0.66342693567276, 0.35781359672546387, 0.037833910435438156, 0.2300538718700409, 0.7375772595405579, -0.33416077494621277, -0.26377058029174805, 0.36087310314178467]"
33681,"[-0.23975464701652527, 0.057628996670246124, -0.14210735261440277, -0.1421603262424469, 0.015095067210495472, -0.258588582277298, 0.031177455559372902, -0.06317228078842163, -0.046191152185201645, -0.027682557702064514]"
34321,"[-0.03452909737825394, -1.2020165920257568, 0.14090803265571594, -0.6297090649604797, -0.9223101735115051, -0.13371983170509338, -0.5228232145309448, 0.5635833144187927, 0.880999743938446, -0.5622214078903198]"
34811,"[-1.1839675903320312, -0.5104321241378784, 0.24611864984035492, 1.811131477355957, 0.1664036512374878, -1.0815898180007935, -0.25420254468917847, -0.7686683535575867, -0.29276978969573975, 1.202122449874878]"
36401,"[1.5650477409362793, -1.1623207330703735, 2.324030637741089, -0.2999454438686371, 0.5188667178153992, -0.918178379535675, 0.2492963969707489, -0.3639468252658844, -0.41682344675064087, 0.23942138254642487]"
37211,"[0.3287251889705658, -1.2111057043075562, 0.0323142483830452, 0.5706904530525208, 0.14576029777526855, -0.33971062302589417, 0.12599502503871918, -0.7402294874191284, -1.2850167751312256, 0.3886117935180664]"
37731,"[-0.3284740746021271, -1.0876686573028564, 0.47611621022224426, -0.7927621006965637, -0.013787517324090004, 0.9886283278465271, -0.6341908574104309, -0.05308334529399872, -0.5991001129150391, -0.7256697416305542]"
37741,"[-1.4323176145553589, 0.747995138168335, -1.4500597715377808, 0.04956817626953125, 0.3070617616176605, -0.6945127248764038, 1.2949014902114868, 1.5274771451950073, -0.1361614167690277, 0.3915165662765503]"
38061,"[0.5478849411010742, 0.03058217652142048, 0.3199343681335449, -1.666921615600586, -1.9014148712158203, 3.147064685821533, -1.3005338907241821, -1.3902958631515503, 0.4950421452522278, -0.8100645542144775]"
39231,"[-0.20159655809402466, 0.8619003891944885, -0.6205746531486511, 0.23711688816547394, -1.4982343912124634, -0.5144799947738647, 0.3571036458015442, 1.6353825330734253, 1.2397792339324951, -2.7137298583984375]"
39381,"[-1.1253255605697632, -0.10607454180717468, 0.2626788914203644, -1.808740496635437, -1.042738437652588, 0.2804427742958069, -0.3804172873497009, 0.47903719544410706, 0.21673831343650818, -0.1727505326271057]"
40581,"[-0.06361003965139389, 0.5732471346855164, 0.06600305438041687, 1.2069092988967896, -0.7777187824249268, 1.1394165754318237, -0.9593648910522461, 0.7901470065116882, 0.021863944828510284, 1.206641674041748]"
40851,"[-0.2844091057777405, 1.426485300064087, 0.8576417565345764, 0.2998005151748657, 0.9588403701782227, 0.8762655258178711, 0.6542356014251709, 0.8093018531799316, 0.1163996011018753, -0.5724437832832336]"
41411,"[-1.1374982595443726, -0.24230238795280457, -0.9386003017425537, 0.9496926069259644, 1.19588303565979, -1.146713376045227, -1.362805962562561, 0.12674777209758759, -1.0235517024993896, -1.4380780458450317]"
42011,"[-0.3121377229690552, -1.1362614631652832, 0.7195585370063782, 0.5706852674484253, -1.4201712608337402, -0.3794495463371277, -0.6422206163406372, -0.27969834208488464, -0.3705887496471405, 1.257993459701538]"
44191,"[-0.06770417094230652, -1.1362895965576172, 0.6159688830375671, -0.39135709404945374, -0.0624663345515728, 2.0654714107513428, 0.45189422369003296, 0.03771563619375229, 0.14771413803100586, -2.0443592071533203]"
45081,"[-1.7011210918426514, 2.9556028842926025, -0.8116309642791748, -0.07904965430498123, -0.6988986730575562, -1.2823115587234497, -0.5963888764381409, 1.4650990962982178, -0.24240583181381226, -1.4406417608261108]"
45221,"[1.3423757553100586, 0.25547483563423157, -0.8492139577865601, -0.5955613255500793, -1.9416098594665527, 0.32809287309646606, -1.2067844867706299, -0.025933701545000076, -0.17738385498523712, -0.43363380432128906]"
45361,"[-0.48771747946739197, -1.0838524103164673, -0.007055521011352539, -0.7683258056640625, 0.8126921653747559, 0.4215938150882721, -0.5284414887428284, -0.004010818898677826, -0.47660839557647705, -1.0751887559890747]"
45431,"[-0.06142253801226616, -1.8280805349349976, -0.9492278099060059, 0.24574777483940125, 0.4332958459854126, -0.7341064214706421, 0.9079720973968506, 0.5269982218742371, -2.7971115112304688, 0.7933101058006287]"
45501,"[0.1297239512205124, 0.03768843784928322, -0.19340354204177856, -0.40382131934165955, 0.3903096318244934, 0.4455145299434662, 0.5936089754104614, 0.8405494093894958, -0.056558750569820404, 0.05574173107743263]"
47491,"[-0.9160177707672119, -0.2617655098438263, -0.648954451084137, -1.8607966899871826, -0.5658204555511475, -1.001124382019043, 0.8812577128410339, 0.09440987557172775, 1.0810619592666626, 1.6738203763961792]"
47721,"[1.5350786447525024, -0.3127656579017639, -1.4888372421264648, -0.043967507779598236, -1.394736886024475, -2.293407440185547, 0.5346304178237915, -0.10233696550130844, -0.39753520488739014, 1.4765530824661255]"
48591,"[0.20811720192432404, -0.07436266541481018, 0.1357819139957428, -1.5728659629821777, -0.5750333666801453, 0.3685586750507355, -0.4614543914794922, -0.048851702362298965, -0.38520750403404236, -1.0211704969406128]"
49961,"[0.5729289054870605, 0.05729319527745247, -0.8295466899871826, 0.7543337941169739, -2.1083414554595947, -0.13385997712612152, -1.784934401512146, -0.7563853859901428, 0.9871813654899597, -0.5812926888465881]"
50601,"[0.2254646271467209, -0.6911910176277161, 0.6918795704841614, 2.015382766723633, 0.25680768489837646, -1.0809097290039062, 0.4511526823043823, -0.5551568269729614, -0.23608586192131042, 1.8650412559509277]"
50641,"[-0.5151903629302979, -0.1614314317703247, 0.10437208414077759, 0.17562738060951233, -1.1602104902267456, -1.3816152811050415, -1.4972522258758545, -0.29997488856315613, -0.5955226421356201, -0.30522486567497253]"
50851,"[-1.121175765991211, 0.39789319038391113, 0.6426082253456116, 0.2133340984582901, 1.5719050168991089, -1.4009225368499756, -0.9873740673065186, 0.2550697922706604, -1.0119315385818481, -0.12509146332740784]"
51091,"[-0.5833663940429688, -0.24840782582759857, 2.887443780899048, 0.7657610177993774, 0.1526864618062973, 0.4183126986026764, 0.45266854763031006, -1.9716153144836426, 0.18755219876766205, 0.1786184161901474]"
51471,"[-1.0733144283294678, 1.4649248123168945, 0.142815962433815, -1.5905308723449707, 1.6218891143798828, 1.0879719257354736, -0.04983818158507347, 0.7388346195220947, 0.7805726528167725, 0.3110670745372772]"
52241,"[1.1243184804916382, 1.0664305686950684, -0.8291972279548645, -0.20707620680332184, 0.32954686880111694, 1.182464838027954, -0.2332228720188141, -1.3245545625686646, 1.1576950550079346, 0.9119824767112732]"
52281,"[-0.6941930651664734, -0.20730672776699066, -0.2814634442329407, -0.3733537197113037, 3.5079665184020996, 0.436001718044281, -2.1338844299316406, 0.528563380241394, 0.2760794758796692, 0.580202579498291]"
52591,"[-0.1393914520740509, -0.6473302245140076, 1.397370457649231, 0.22914883494377136, 0.6198099255561829, -0.035997580736875534, -0.9297049045562744, -1.7275222539901733, -1.058249592781067, -0.7676225900650024]"
53121,"[-0.5266004204750061, 0.7443427443504333, -1.5818277597427368, -0.5121594667434692, -0.08976174890995026, -0.9409533143043518, -0.014391600154340267, -0.33904141187667847, 0.9988023042678833, -1.7798269987106323]"
54001,"[-0.3938758969306946, 1.079357624053955, 1.2253437042236328, 0.11359310150146484, -0.08686871081590652, -2.1105024814605713, -1.912685751914978, -1.8139402866363525, 1.1092851161956787, -1.618218183517456]"
54281,"[-0.39175570011138916, 0.5242140889167786, 0.6705478429794312, 1.440592885017395, -1.0748543739318848, 1.0817360877990723, 0.4256243109703064, 0.9387086629867554, -1.3171396255493164, -0.5577048063278198]"
54771,"[0.25664135813713074, 0.8749638199806213, 0.3977583348751068, 0.31465765833854675, 0.2940775752067566, -0.30307403206825256, -0.686225414276123, -0.002791508799418807, 1.093406319618225, -0.3057709038257599]"
55261,"[-0.18870383501052856, -0.27997809648513794, 0.14413680136203766, 1.908288598060608, -1.3697209358215332, 0.39152175188064575, 0.0726231038570404, 0.22380712628364563, 0.7366880178451538, 2.070323944091797]"
55451,"[-0.14555151760578156, -0.4328576326370239, 1.3884779214859009, -0.706505537033081, -0.7693304419517517, 0.33688703179359436, -1.4600180387496948, -1.788457989692688, 0.4590526223182678, -0.013722110539674759]"
56801,"[0.11399144679307938, -0.3527269959449768, -0.10443288087844849, -0.0602516308426857, 0.7110815644264221, -0.18303774297237396, -0.03537982329726219, -0.3318924009799957, 0.5788652300834656, -0.744542121887207]"
56941,"[-0.8612282872200012, -0.8141450881958008, 0.4565897285938263, -0.2305920571088791, -0.4107735753059387, -1.2439730167388916, -3.128296375274658, 0.9856820702552795, 0.5050849914550781, 0.31565073132514954]"
58111,"[0.680060625076294, 1.4055094718933105, -0.7376188039779663, -1.309207797050476, 0.03929902985692024, -0.9408273100852966, 0.5117343664169312, 1.1523807048797607, -0.35796141624450684, 1.8891481161117554]"
58291,"[0.07470069825649261, 0.26155993342399597, 0.24372442066669464, 0.14831605553627014, 0.4175313711166382, 0.11789117753505707, 0.14475229382514954, 0.17637132108211517, 0.04175295680761337, -0.08697570860385895]"
58301,"[0.3380236327648163, 0.38170793652534485, -0.02348027192056179, -0.21305538713932037, -0.15002654492855072, 0.03791433945298195, -0.24680086970329285, 0.021190878003835678, 0.09557738900184631, -0.06816815584897995]"
59131,"[-0.21950694918632507, 0.26937732100486755, 0.019709985703229904, -0.15063391625881195, 0.3690619468688965, -0.7796238660812378, 0.2291058599948883, -0.08272308856248856, 0.41141003370285034, -0.158050537109375]"
59141,"[0.20215898752212524, 0.28291139006614685, 1.5626745223999023, 0.46744486689567566, -0.5892354846000671, 1.052193284034729, -0.22355470061302185, -1.2683027982711792, -0.5401712656021118, -0.2384806126356125]"
59421,"[1.739426851272583, 3.0566842555999756, -0.7058708667755127, -0.9947308301925659, -0.25402313470840454, 1.2855173349380493, -0.5428942441940308, 0.3602043688297272, -0.4778885543346405, 0.9854981303215027]"
59501,"[1.0078307390213013, 0.0492541640996933, -0.2540658712387085, -1.5573163032531738, -0.9821235537528992, 1.4094265699386597, -0.49193909764289856, 1.125840187072754, -0.11587850749492645, 0.26783111691474915]"
61361,"[-0.06802032142877579, -1.226301908493042, -0.323246031999588, -0.5365350246429443, 0.5162861943244934, 0.8443337678909302, -1.3459851741790771, 0.9267645478248596, 0.11106739938259125, -1.7349698543548584]"
62081,"[1.1765938997268677, 0.3960355818271637, -0.07225530594587326, 1.2606593370437622, 2.1315255165100098, 1.9325778484344482, -0.6909729838371277, -0.12388736009597778, 1.3000197410583496, -0.9786174297332764]"
62511,"[0.029400652274489403, -2.7467188835144043, 0.21195651590824127, 2.1970620155334473, -1.4354275465011597, -0.6411401033401489, 0.5551058650016785, 1.1153632402420044, -0.026437168940901756, -1.0275903940200806]"
63131,"[-1.6954772472381592, -0.7944194078445435, 0.08696408569812775, 1.3048391342163086, 0.15344049036502838, 1.7575873136520386, 1.6177966594696045, 0.8185410499572754, -0.2064739167690277, -0.868302583694458]"
63481,"[0.8481765389442444, -0.4496086835861206, 0.8089505434036255, 1.0206692218780518, -0.2613934278488159, 0.23349492251873016, 1.4296332597732544, -0.19978313148021698, -0.9082698225975037, 0.8853025436401367]"
64501,"[0.39278948307037354, 0.871006965637207, 0.058769434690475464, 0.8529080152511597, -0.4685230255126953, -2.2536118030548096, -0.023893944919109344, 0.4098583459854126, 1.1667157411575317, 1.569200873374939]"
65261,"[1.5871977806091309, 1.554394006729126, 0.15658484399318695, -2.213630437850952, 1.6522578001022339, 1.4269592761993408, -0.6401472091674805, 0.5812013149261475, 0.7573992609977722, -1.939331293106079]"
66171,"[0.11611926555633545, 0.10950737446546555, -0.09630145132541656, 0.39082175493240356, 1.6371713876724243, 1.5499402284622192, 1.4412190914154053, -1.2152478694915771, -2.3140623569488525, -0.26589950919151306]"
66371,"[-0.8779624104499817, 0.30306172370910645, -0.7044697999954224, -1.9452438354492188, 2.0307929515838623, -0.12824749946594238, 2.2687249183654785, 0.8462700247764587, -0.016837986186146736, -2.490042209625244]"
68791,"[-0.5725145936012268, -1.6469305753707886, -1.219690203666687, 1.4221351146697998, -0.49791455268859863, 0.3233602046966553, -0.21162058413028717, 1.7005839347839355, -0.08024640381336212, 1.4556833505630493]"
69481,"[1.436991572380066, 1.5766171216964722, -1.7569938898086548, -1.8464709520339966, 2.540031671524048, -0.4725376069545746, -1.2999619245529175, 1.459956407546997, 0.1065988764166832, -0.6097330451011658]"
69951,"[0.8881828188896179, -0.9358697533607483, -0.4417858123779297, -1.0178414583206177, 0.20616306364536285, -0.09236758202314377, -0.3978261351585388, 2.8774421215057373, 0.5886347889900208, 0.7061826586723328]"
72011,"[0.8131788969039917, 2.1874332427978516, 1.7237595319747925, -1.100093960762024, 0.671198844909668, 1.3166991472244263, 0.2989826500415802, -1.0435782670974731, -0.10947130620479584, -1.1456674337387085]"
72641,"[0.30925247073173523, -0.04312845692038536, 0.1314554065465927, 2.207390308380127, -2.379230499267578, -0.42142176628112793, 1.500731110572815, 1.589120864868164, 0.22813893854618073, -1.0772194862365723]"
72731,"[-0.7049976587295532, -0.8910346031188965, 0.046224094927310944, 0.3881942927837372, -0.027436017990112305, 0.16321241855621338, 1.2882804870605469, 0.16877365112304688, 0.7267903685569763, 1.5828161239624023]"
72741,"[0.14351503551006317, 0.607448160648346, 0.605237603187561, -0.5878094434738159, 0.10650432854890823, 0.9026719927787781, -0.6287358999252319, -0.33682480454444885, 0.4643200635910034, -0.3639199435710907]"
73051,"[1.380784511566162, 0.010757537558674812, -0.08732050657272339, 1.5192171335220337, -1.3139574527740479, 1.107770562171936, -0.6025871634483337, -0.7887586951255798, -0.45512261986732483, 0.13618604838848114]"
73101,"[-0.9261003732681274, 0.46410617232322693, 0.08264373242855072, -1.393588900566101, 0.36358919739723206, -0.9808312058448792, -0.26816219091415405, -0.6442908048629761, 1.7397159337997437, -1.0099380016326904]"
73211,"[-1.9104623794555664, -0.021199587732553482, 0.05356898903846741, -1.2230576276779175, -2.641664743423462, -0.6446951627731323, 1.709818720817566, -1.0979255437850952, 0.3269418478012085, -0.2215084433555603]"
73321,"[1.4324376583099365, 0.673080325126648, -2.764486074447632, 0.9537696242332458, -0.863044023513794, 0.36626195907592773, -0.4139082729816437, -3.0621228218078613, 0.3218499422073364, -0.7155174612998962]"
73881,"[0.5547641515731812, 0.12306492030620575, -0.10039349645376205, -0.016810698434710503, -1.0013713836669922, -2.1845293045043945, -1.9473984241485596, 0.4091387689113617, -0.6685488820075989, 0.8941019773483276]"
74111,"[-1.1115387678146362, -0.2504383325576782, 1.0202662944793701, 0.13397148251533508, -2.0838513374328613, 0.8493717312812805, -0.21273495256900787, 0.3904949426651001, 0.06071417033672333, -0.08222020417451859]"
74791,"[0.06931514292955399, 0.882547914981842, 1.3497190475463867, -1.1297811269760132, -0.30716612935066223, -0.03246190398931503, -1.0295766592025757, 2.4478437900543213, -1.1903263330459595, -1.8710789680480957]"
74851,"[-0.07134667038917542, 0.7726194262504578, 0.0890205055475235, -1.1685723066329956, 0.9457322359085083, -0.1664799451828003, 0.1550770252943039, 0.1265568733215332, 0.42782706022262573, -0.052436500787734985]"
76251,"[0.025345684960484505, 0.6259040236473083, -1.3657798767089844, 2.2657127380371094, -0.036016277968883514, 0.004026675131171942, -1.7239385843276978, -2.553219795227051, -0.464697003364563, 0.33909323811531067]"
77181,"[-0.02080317586660385, 0.1736547350883484, 1.0940845012664795, 0.7584609389305115, 1.670881986618042, -0.6270737051963806, -1.1180968284606934, 2.213118076324463, -2.017930030822754, 1.2727699279785156]"
77561,"[0.07649324089288712, -0.3054022789001465, 0.9584028720855713, -2.0026721954345703, 0.2263120859861374, 0.3097393810749054, 0.08175723999738693, 0.29888635873794556, -2.6878116130828857, -1.3917524814605713]"
79091,"[1.635512113571167, 0.9033619165420532, -0.9180017113685608, 0.5540993213653564, 0.3191985785961151, -1.5519919395446777, 1.0457475185394287, -0.7148789167404175, 1.9978153705596924, 1.593512773513794]"
79251,"[1.0777255296707153, -1.0751556158065796, -0.425422340631485, 0.7377580404281616, -0.5963811278343201, -1.6336827278137207, 0.5043711066246033, -0.15891675651073456, 1.132651925086975, -0.870082437992096]"
80551,"[0.4378637373447418, 0.4256099462509155, -0.5635024905204773, -0.10695400089025497, 0.1815543919801712, 0.8563321232795715, -0.16030600666999817, -0.2571215033531189, 0.5811559557914734, 1.337404489517212]"
80831,"[-0.026229064911603928, -0.6527717709541321, 2.175230026245117, 0.41123804450035095, -2.342690944671631, 0.58509761095047, -0.8300892114639282, 0.34199297428131104, 0.399566650390625, 0.44779664278030396]"
81591,"[-2.1661200523376465, 0.028205126523971558, 1.4049280881881714, 0.4548230469226837, 0.880084216594696, -0.8220846652984619, 0.48098328709602356, 1.2380229234695435, -3.006880283355713, 0.02467362955212593]"
81751,"[-0.22252193093299866, 0.03956557437777519, -0.2563963532447815, 0.8069630265235901, -1.6330561637878418, -2.342557430267334, 0.16943126916885376, -1.0495972633361816, -0.4286896586418152, 0.09822078794240952]"
81791,"[0.34369078278541565, 0.7621310949325562, 0.05142325535416603, 0.7462945580482483, -0.4099576473236084, -1.9719103574752808, -0.02090720273554325, 0.35862603783607483, 1.0208762884140015, 1.3730506896972656]"
82461,"[0.8306825160980225, 1.5236579179763794, -1.6800719499588013, 0.30880290269851685, 1.1534367799758911, 0.26271605491638184, -2.9386727809906006, 1.393248200416565, 0.9219920039176941, -0.042475905269384384]"
82931,"[-0.778036892414093, 0.5357462167739868, -0.45738914608955383, -0.10410216450691223, -0.09193538129329681, -2.329188108444214, -0.0667319968342781, 0.6747258901596069, -1.1699919700622559, 0.39735543727874756]"
84601,"[-0.4074288010597229, -0.05061352625489235, -0.07850246131420135, 0.8187164068222046, 1.0974314212799072, 1.0217012166976929, 0.25314590334892273, 1.0764405727386475, 0.6272354125976562, -0.13174495100975037]"
84621,"[-0.29926079511642456, 0.4182867109775543, -0.24554340541362762, 0.17767499387264252, -0.15850000083446503, -0.033131346106529236, 0.1356346607208252, -0.10266575217247009, -0.4212137460708618, -0.13077595829963684]"
85131,"[0.07507963478565216, -0.9426652193069458, 0.6919074654579163, -0.42316100001335144, -0.2405053824186325, 1.6305056810379028, -0.4732530415058136, 0.7730088233947754, 0.38115328550338745, 0.3621993958950043]"
86781,"[-2.9570529460906982, 0.25559261441230774, 0.07534189522266388, 0.2694215476512909, -1.3464138507843018, 0.011885645799338818, 0.3524302840232849, 0.690951943397522, -0.9470561742782593, -1.302966833114624]"
86911,"[0.007418796420097351, -0.10267092287540436, -0.46758702397346497, 0.17914672195911407, -1.5717378854751587, 1.160943627357483, -0.3124470114707947, -2.3626415729522705, 0.09767226874828339, -0.09724278002977371]"
89761,"[0.4348641633987427, -0.4579603970050812, -0.29969242215156555, 0.285312294960022, 0.12577149271965027, -1.750455617904663, 1.0458918809890747, -0.9153470396995544, 1.1659506559371948, 0.6994597911834717]"
90531,"[1.7925732135772705, -0.7218389511108398, 0.19439880549907684, -0.2056744545698166, 0.47294309735298157, -0.6799729466438293, -0.05745864659547806, 2.6680004596710205, -1.1662673950195312, 1.780815839767456]"
90811,"[-0.035565003752708435, -1.4959940910339355, -0.1356624811887741, -1.3066575527191162, 0.19427113234996796, 0.946640133857727, -0.1335236132144928, 0.19758547842502594, 0.7290138602256775, 1.384238839149475]"
91821,"[0.35316842794418335, -1.3518412113189697, -0.34750527143478394, -0.3401532471179962, 1.917768120765686, -1.3116203546524048, -0.6940361261367798, 0.24450187385082245, -0.4862857758998871, -0.14869916439056396]"
91831,"[-0.10620315372943878, -0.5230077505111694, -0.05410146340727806, -0.13132162392139435, 0.024990377947688103, 0.3084138035774231, -0.0563969761133194, 0.025514470413327217, 0.030060864984989166, 0.058763615787029266]"
92391,"[0.5753530859947205, -0.07707403600215912, 0.18906345963478088, -1.5052815675735474, 1.6063454151153564, -1.1327478885650635, 0.7262397408485413, 0.22180575132369995, 1.6826666593551636, -1.9424870014190674]"
93721,"[0.6754804849624634, 1.4401825666427612, 1.027819037437439, -1.1237226724624634, 1.4681795835494995, -1.6173746585845947, 0.9668769836425781, -3.2764229774475098, 0.7848001718521118, 0.9433367252349854]"
93831,"[1.6920151710510254, 0.8154432773590088, 0.6189947128295898, 0.16241134703159332, 0.652512788772583, 1.8005340099334717, 1.1751973628997803, 0.7369191646575928, 0.4279252290725708, 0.15983770787715912]"
95441,"[0.8086453080177307, 1.4039855003356934, -0.9671732187271118, -1.8091721534729004, -0.902218222618103, -1.369402527809143, -2.462233543395996, -0.3459688425064087, 0.7677408456802368, 0.09166301786899567]"
96691,"[-0.18364949524402618, -2.108370780944824, 0.2812599241733551, -0.08380189538002014, 0.9815292954444885, -0.1734454482793808, 0.22475406527519226, -0.7127248644828796, -0.004841053392738104, -0.11897645890712738]"
96751,"[-0.586098849773407, 2.0120818614959717, 1.0225847959518433, 0.04391046240925789, 1.4429197311401367, -0.8714335560798645, 0.4544897675514221, 0.3890639543533325, 0.416354238986969, 0.43033725023269653]"
96811,"[-1.7068283557891846, -0.7044168710708618, -0.9377532005310059, 1.6668428182601929, 1.7227246761322021, 1.0095852613449097, 0.2774563729763031, 0.33012649416923523, 0.2668021619319916, 0.7806434035301208]"
96821,"[-0.017729826271533966, 0.5015468001365662, -1.5161693096160889, 0.06025417521595955, 0.9782153964042664, 3.0920352935791016, -0.7478258609771729, -0.24083927273750305, -1.6118762493133545, 1.6026853322982788]"
96861,"[-2.0371909141540527, 1.0558050870895386, -1.7751150131225586, -1.0635342597961426, -0.5826229453086853, -0.6605453491210938, -1.5368859767913818, 0.6515530943870544, -0.0815010517835617, -0.6596158146858215]"
96911,"[1.6944125890731812, 0.6223772764205933, -0.09028330445289612, 0.3436114192008972, 0.1437499225139618, 0.5178888440132141, 0.012573421001434326, -0.5156037211418152, 1.4305680990219116, -1.5494807958602905]"
97921,"[-1.6095324754714966, -1.6992324590682983, 1.6225053071975708, -1.0448904037475586, -0.8366572260856628, -1.4224140644073486, -1.9953044652938843, 1.0641262531280518, 2.4448232650756836, -1.2211183309555054]"
98361,"[-0.05695801228284836, 1.7758265733718872, 0.17705625295639038, -1.61906898021698, -0.6750927567481995, 0.8167781233787537, 0.7521530389785767, -0.7787700891494751, -1.0555236339569092, -1.3542119264602661]"
98491,"[1.6536943912506104, 1.4106004238128662, 0.03178415074944496, -0.07004855573177338, -1.8017832040786743, 0.31381893157958984, -2.638493537902832, 0.5012043714523315, 0.9954259991645813, 0.7834983468055725]"
98961,"[-2.3948404788970947, -1.51383638381958, 0.5093919038772583, -1.188685417175293, 0.7159636616706848, 1.3502981662750244, 0.741930365562439, -0.32226380705833435, -1.3401029109954834, 0.1352933943271637]"
99811,"[1.316615104675293, 0.22530138492584229, -0.3599294424057007, 1.2803173065185547, -0.5982022881507874, -0.6396394371986389, -0.1584770679473877, 1.7903316020965576, -1.7159287929534912, 0.6122273802757263]"
100611,"[-1.3174735307693481, -0.42512184381484985, 0.36986568570137024, 1.565371036529541, 0.03290964290499687, 0.3914182782173157, -0.09871544688940048, -0.3899807929992676, -1.1083922386169434, -1.1341043710708618]"
102481,"[-1.2996633052825928, -0.7250337600708008, 1.1958457231521606, -1.5746941566467285, 1.7618904113769531, -0.5117931962013245, -1.2136098146438599, -0.42271411418914795, -1.2345548868179321, 0.9320025444030762]"
102961,"[2.6183152198791504, 0.40755897760391235, -0.40748241543769836, 0.8981760144233704, -1.3180431127548218, 2.234792947769165, -0.5533694624900818, 1.194640040397644, 0.606845498085022, -0.018221799284219742]"
102991,"[1.5871996879577637, 0.2599330246448517, -0.21003513038158417, 0.5105203986167908, 0.4767966866493225, -0.46533235907554626, 0.3678605258464813, 0.7177747488021851, -1.4914778470993042, -0.15717579424381256]"
103141,"[0.3156842887401581, -0.2796480357646942, 2.037031888961792, -0.40831851959228516, 1.5140445232391357, 0.6662763357162476, 1.7244479656219482, -0.7885503768920898, 2.8586020469665527, -0.3305046558380127]"
103341,"[-0.8043415546417236, -1.0406574010849, 0.2992435693740845, -0.11168024688959122, 1.225816011428833, -0.6175638437271118, 1.3203251361846924, -1.195764183998108, 0.5941465497016907, 0.8900904655456543]"
104211,"[1.9318221807479858, -0.4016437828540802, -1.710929036140442, 0.2808602452278137, 0.5052331686019897, -1.8902796506881714, 2.9309422969818115, 0.23364917933940887, -0.1834808588027954, -0.0487598218023777]"
104241,"[-0.7965784668922424, 1.2949479818344116, 1.1834466457366943, -0.8483949303627014, -2.454271078109741, 0.526361346244812, -1.6418654918670654, 1.8647931814193726, 1.0154069662094116, -0.8682016134262085]"
104441,"[1.5027005672454834, 0.7875664830207825, -0.5336057543754578, -0.404969722032547, -1.232886552810669, -0.5870363116264343, 1.4702394008636475, 0.6945892572402954, -1.681838035583496, -0.4530482590198517]"
104631,"[-0.50373375415802, 0.02132488414645195, -1.111872673034668, -0.3891860842704773, 1.5172946453094482, -1.513832926750183, -0.5881140232086182, 0.3088360130786896, -0.049592193216085434, 1.3066680431365967]"
104841,"[-1.2832534313201904, -0.708136796951294, -2.663055181503296, 1.1500182151794434, -1.9639604091644287, -1.2314865589141846, 1.073004126548767, 0.7877537608146667, -1.6796482801437378, -1.3911265134811401]"
105211,"[0.5735066533088684, -0.052457988262176514, 0.5295490026473999, 1.0099154710769653, -0.9876881241798401, 0.18034964799880981, -0.27095556259155273, 1.0573551654815674, -0.37735670804977417, 0.6502468585968018]"
105731,"[0.8797862529754639, 1.4615916013717651, -0.6293372511863708, 0.12352147698402405, -0.2818008363246918, 0.36140984296798706, -0.8453276753425598, 0.057811714708805084, -0.15350395441055298, 0.3756011426448822]"
106401,"[0.9390889406204224, -0.4440946877002716, -1.4608572721481323, -0.2622206509113312, 0.9479673504829407, -0.8895419836044312, 0.6024134755134583, 1.2296102046966553, -0.9777846336364746, 0.7642617225646973]"
106491,"[1.6008800268173218, 0.05425563082098961, 0.5276491641998291, 0.6357820630073547, 1.2098424434661865, 0.4511667490005493, 0.5658576488494873, -0.9254562258720398, 1.1160956621170044, 0.10113941878080368]"
107881,"[0.19769386947155, -0.969025194644928, 0.1636580526828766, 1.0071178674697876, -0.689206063747406, 0.6624698042869568, -0.3694152235984802, 0.5999486446380615, 0.518361508846283, -0.771464467048645]"
108981,"[1.8137038946151733, 0.30384811758995056, 0.5162977576255798, 1.365252137184143, 1.4256161451339722, 0.8267678618431091, -1.3957300186157227, -1.0060980319976807, -1.2815662622451782, 1.1221191883087158]"
